n_neighbors,weights,metric,recall,accuracy,precision,f1,train_time,pred_time
66,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006089162826538086,0.0065183877944946286
75,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0005811262130737305,0.006225728988647461
68,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006124114990234375,0.006201372146606445
82,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006092739105224609,0.006829171180725097
68,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0005995416641235351,0.006080121994018555
70,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006307888031005859,0.006456704139709473
84,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006354427337646484,0.006880965232849121
83,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0005893421173095703,0.006457877159118652
88,distance,manhattan,1.0,0.9392857142857142,0.923809523809524,0.9575757575757575,0.0005852222442626953,0.006661553382873536
75,uniform,manhattan,1.0,0.9367857142857141,0.9204761904761907,0.9557575757575758,0.0006341314315795898,0.006457324028015137
91,distance,manhattan,1.0,0.9342857142857142,0.9171428571428573,0.9539393939393938,0.0005983114242553711,0.006619348526000977
99,distance,manhattan,1.0,0.9317857142857142,0.913809523809524,0.9521212121212119,0.0005845975875854492,0.006369409561157227
96,distance,manhattan,1.0,0.9317857142857142,0.913809523809524,0.952121212121212,0.0006895780563354493,0.006609921455383301
96,distance,manhattan,1.0,0.9317857142857142,0.913809523809524,0.952121212121212,0.0005851840972900391,0.0067690229415893555
104,distance,manhattan,1.0,0.9292857142857142,0.9104761904761907,0.9503030303030302,0.0005618000030517578,0.006305422782897949
104,distance,manhattan,1.0,0.9292857142857142,0.9104761904761907,0.9503030303030302,0.0006461477279663086,0.006949057579040527
87,uniform,manhattan,1.0,0.9267857142857142,0.9071428571428573,0.9484848484848485,0.0006162786483764649,0.006332111358642578
86,uniform,manhattan,1.0,0.9267857142857142,0.9071428571428573,0.9484848484848485,0.0006103277206420899,0.006341657638549805
109,distance,manhattan,1.0,0.9267857142857142,0.9080952380952383,0.9487878787878786,0.0006342458724975585,0.006931819915771484
